year,subject,medal,paper_title,pdf_url,local_file
,化学奖,金奖,Facile Fabrication of Silicon Carbide Spheres and Its Application in Polymer Composites with Enhanced Thermal Conductivity,,
,化学奖,银奖,Novel 4D-Coding System Based on Circularly Polarized Luminescent Pt Complexes,,
,化学奖,铜奖,Non-gaseous Synthesis of Therapeutic Carbon Monoxide Releasing Molecule CORM-02,,
,化学奖,铜奖,An electrochemical aptasensor based on target-induced nicking site reconstruction strategy for the detection of milk allergen β-lactoglobulin,,
,化学奖,铜奖,Design and Synthesis of 3-D Reduced Graphene Oxide Foam for Highperformance Supercapacitor Electrodes,,
,化学奖,铜奖,pH Adjustable Dye Adsorption and Recycle by Electrostatic Interaction,,
,化学奖,优胜奖,Total Removal of Formaldehyde indoor by Al-based Metal-Organic Framework Decorated with Pt Nanoclusters via Tandem Adsorption and Catalysis,,
,化学奖,优胜奖,Facile Preparation of Hierarchically Porous MOFs Materials for CO2/CH4 Separation,,
,化学奖,优胜奖,Ferrous Ion Immobilized Carbon Dots Fluorescent Sensing Platform for Homogeneous Glucose Detection based on Fenton Reaction,,
,化学奖,优胜奖,The Release of Antimony in Bottled Beverages and Health Risk Assessment,,
,化学奖,金奖,"Facile Green Synthesis of
Titanium Dioxide/Polymer Nanocomposites with Enhanced Photocatalytic Activity",,
,化学奖,银奖,"Fast synthesis of the
iridium(III) complexes at room temperature for high-performance OLEDs",,
,化学奖,优胜奖,"Wearable Textile-based Direct
Urea Fuel Cell",,
,数学奖,金奖,A Study of the Carathéodory Conjecture through Non-Rotationally Symmetric Surfaces,,
,数学奖,银奖,Investigation on i -commuting probabilities on finite groups,,
,数学奖,铜奖,O(1) Algorithm for Calculating Prefix Sum of Fibonacci Words,,
,数学奖,铜奖,On Finite Subgroups in the General Linear Groups over an Algebraic Number Field,,
,数学奖,铜奖,Types of graphs generated by Pascal’s simplices and a problem proposed by Teguia and Godbole,,
,数学奖,优胜奖,Disjoint Cycles in Ordinary Multipartite Tournaments and Round-Robin Tournaments,,
,数学奖,优胜奖,On the coprime labelings of hypergraph,,
